0x1799f | les ebx, ptr [eax + 0x5e5b0000] ; pop edi ; pop ebp ; ret ; 
0x7c9e2 | add dword ptr [ecx - 0x49f047bb], ecx ; inc ebp ; shr byte ptr [ecx], 1 ; ret ; 
0x7cbac | or byte ptr [edi], cl ; mov dh, 0x4d ; aam 0x83 ; ret ; 
0x7d349 | xor dword ptr [ebp + 0x754a0449], ecx ; pop ebx ; pop esi ; ret ; 
0x7d423 | clc ; pop ebx ; pop esi ; ret ; 
0x7d454 | mov word ptr [esi], bx ; pop ebx ; pop esi ; ret ; 
0x7d455 | mov dword ptr [esi], ebx ; pop ebx ; pop esi ; ret ; 
0x7d456 | push ds ; pop ebx ; pop esi ; ret ; 
0x7d51e | mov eax, edi ; pop esi ; pop edi ; ret ; 
0x7d51f | clc ; pop esi ; pop edi ; ret ; 
0x7dac5 | or byte ptr [ebx + 0x5e5b02c0], al ; pop edi ; pop ebp ; ret ; 
0x7db8a | mov dword ptr [eax + 4], edx ; pop ebx ; pop esi ; ret ; 
0x7db8b | push eax ; add al, 0x5b ; pop esi ; ret ; 
0x7dba0 | mov word ptr [eax], si ; pop ebx ; pop esi ; ret ; 
0x7dbb3 | mov byte ptr [eax + 2], 0 ; pop ebx ; pop esi ; ret ; 
0x7dbb5 | add al, byte ptr [eax] ; pop ebx ; pop esi ; ret ; 
0x7dbc4 | mov dword ptr [eax], ebx ; pop ebx ; pop esi ; ret ; 
0x7dc3e | mov dword ptr [eax - 3], edx ; pop ebx ; pop esi ; ret ; 
0x7dc53 | add eax, 1 ; pop ebx ; pop esi ; ret ; 
0x7dc77 | mov dword ptr [eax - 3], ebx ; pop ebx ; pop esi ; ret ; 
0x7dc8b | mov dword ptr [eax - 4], esi ; pop ebx ; pop esi ; ret ; 
0x7dc8d | cld ; pop ebx ; pop esi ; ret ; 
0x7dca3 | mov dword ptr [eax - 5], esi ; pop ebx ; pop esi ; ret ; 
0x7dca5 | sti ; pop ebx ; pop esi ; ret ; 
0x7dcbe | mov dword ptr [eax - 6], esi ; pop ebx ; pop esi ; ret ; 
0x7dcc0 | cli ; pop ebx ; pop esi ; ret ; 
0x7dd1d | adc al, 0xf ; mov esi, 0x74c08401 ; sub dword ptr [ecx], edi ; ret ; 
0x7dd48 | sal byte ptr [ebp - 0x13], cl ; pop ebx ; pop esi ; ret ; 
0x7dd4a | in eax, dx ; pop ebx ; pop esi ; ret ; 
0x7de1e | int1 ; pop ebx ; pop esi ; ret ; 
0x7debf | sal byte ptr [ebp - 0x12], cl ; xor eax, eax ; pop ebx ; ret ; 
0x7dec1 | out dx, al ; xor eax, eax ; pop ebx ; ret ; 
0x7df82 | add byte ptr [ecx + 0x5b1789f2], cl ; pop esi ; pop edi ; ret ; 
0x7e033 | ror byte ptr [ecx - 0xf76a4f9], 0x5e ; pop edi ; pop ebp ; ret ; 
0x7e097 | add byte ptr [ecx + 0x38f989f3], cl ; fmul dword ptr [edi] ; xchg eax, esp ; ret ; 
0x7e1fd | add al, 0x39 ; fmul dword ptr [edi] ; inc edi ; ret ; 
0x7e3ff | sal byte ptr [edi - 0x7d], 0xef ; add dword ptr [ecx], esi ; idiv byte ptr [eax] ; ret ; 
0x7e403 | out dx, eax ; add dword ptr [ecx], esi ; idiv byte ptr [eax] ; ret ; 
0x7e4dc | add eax, edx ; pop edi ; pop esi ; ret ; 
0x7e4e8 | add eax, 0x10 ; pop edi ; pop esi ; ret ; 
0x7e4f1 | mov esp, 0x83d001d2 ; shl byte ptr [eax], 0x5f ; pop esi ; ret ; 
0x7e4f5 | add eax, 0x20 ; pop edi ; pop esi ; ret ; 
0x7e502 | add eax, 0x30 ; pop edi ; pop esi ; ret ; 
0x7fa6f | add byte ptr [ebx - 0x76fd76ff], cl ; clc ; pop edi ; ret ; 
0x7fb2e | add byte ptr es:[edx - 0x76fd77ff], cl ; clc ; pop edi ; ret ; 
0x7fd17 | movlpd qword ptr [edx], xmm0 ; mov dword ptr [edx + 7], eax ; mov eax, edx ; ret ; 
0x7fd18 | movlps qword ptr [edx], xmm0 ; mov dword ptr [edx + 7], eax ; mov eax, edx ; ret ; 
0x7fd19 | adc eax, dword ptr [edx] ; mov dword ptr [edx + 7], eax ; mov eax, edx ; ret ; 
0x7fd37 | movlpd qword ptr [edx], xmm0 ; mov dword ptr [edx + 8], eax ; mov eax, edx ; ret ; 
0x7fd38 | movlps qword ptr [edx], xmm0 ; mov dword ptr [edx + 8], eax ; mov eax, edx ; ret ; 
0x7fd39 | adc eax, dword ptr [edx] ; mov dword ptr [edx + 8], eax ; mov eax, edx ; ret ; 
0x7fd5c | add ah, byte ptr [esi + 0xf] ; adc ecx, dword ptr [edx + 5] ; mov eax, edx ; ret ; 
0x7fd80 | dec edx ; push es ; mov eax, edx ; ret ; 
0x7fd9b | adc eax, dword ptr [edx] ; movlpd qword ptr [edx + 7], xmm1 ; mov eax, edx ; ret ; 
0x7fd9c | add ah, byte ptr [esi + 0xf] ; adc ecx, dword ptr [edx + 7] ; mov eax, edx ; ret ; 
0x7fda0 | dec edx ; pop es ; mov eax, edx ; ret ; 
0x816b5 | or al, 0xf ; test esp, eax ; add eax, 0x5b5f0000 ; ret ; 
0x818da | add cl, byte ptr [ecx - 0x776f7be] ; pop edi ; pop ebx ; ret ; 
0x81aab | test eax, edx ; add dword ptr [eax], eax ; add byte ptr [edi + 0x5b], bl ; ret ; 
0x82800 | movlpd qword ptr [edx + 7], xmm1 ; mov eax, edx ; pop ebx ; ret ; 
0x82801 | movlps qword ptr [edx + 7], xmm1 ; mov eax, edx ; pop ebx ; ret ; 
0x82802 | adc ecx, dword ptr [edx + 7] ; mov eax, edx ; pop ebx ; ret ; 
0x82804 | pop es ; mov eax, edx ; pop ebx ; ret ; 
0x82854 | mov dword ptr [edx + 8], eax ; mov eax, edx ; pop ebx ; ret ; 
0x828c9 | movlpd qword ptr [edx], xmm0 ; mov eax, edx ; pop ebx ; ret ; 
0x828ca | movlps qword ptr [edx], xmm0 ; mov eax, edx ; pop ebx ; ret ; 
0x828cb | adc eax, dword ptr [edx] ; mov eax, edx ; pop ebx ; ret ; 
0x82922 | mov dword ptr [edx], eax ; mov eax, edx ; pop ebx ; ret ; 
0x83e64 | movlpd qword ptr [edx], xmm0 ; lea eax, [edx + 7] ; pop edi ; ret ; 
0x83e65 | movlps qword ptr [edx], xmm0 ; lea eax, [edx + 7] ; pop edi ; ret ; 
0x83e66 | adc eax, dword ptr [edx] ; lea eax, [edx + 7] ; pop edi ; ret ; 
0x84030 | mov al, byte ptr [ecx] ; mov byte ptr [edx], al ; lea eax, [edx] ; ret ; 
0x840b8 | movlps qword ptr [edx], xmm0 ; mov byte ptr [edx + 8], al ; lea eax, [edx + 8] ; ret ; 
0x840b9 | adc eax, dword ptr [edx] ; mov byte ptr [edx + 8], al ; lea eax, [edx + 8] ; ret ; 
0x840f8 | movlps qword ptr [edx], xmm0 ; mov dword ptr [edx + 7], eax ; lea eax, [edx + 0xa] ; ret ; 
0x840f9 | adc eax, dword ptr [edx] ; mov dword ptr [edx + 7], eax ; lea eax, [edx + 0xa] ; ret ; 
0x8413c | add ah, byte ptr [esi + 0xf] ; adc ecx, dword ptr [edx + 5] ; lea eax, [edx + 0xc] ; ret ; 
0x84160 | dec edx ; push es ; lea eax, [edx + 0xd] ; ret ; 
0x8417c | add ah, byte ptr [esi + 0xf] ; adc ecx, dword ptr [edx + 7] ; lea eax, [edx + 0xe] ; ret ; 
0x84180 | dec edx ; pop es ; lea eax, [edx + 0xe] ; ret ; 
0x85c5e | add dword ptr [ecx + 0x4428d02], ecx ; pop edi ; pop ebx ; ret ; 
0x85c61 | lea eax, [edx + 4] ; pop edi ; pop ebx ; ret ; 
0x85c93 | lea eax, [edx + 8] ; pop edi ; pop ebx ; ret ; 
0x85cce | lea eax, [edx + 0xc] ; pop edi ; pop ebx ; ret ; 
0x85d0d | lea eax, [edx + 0x10] ; pop edi ; pop ebx ; ret ; 
0x85f3a | lea esi, [esi] ; pop ebx ; ret ; 
0x872f4 | mov eax, dword ptr [ecx + 4] ; mov dword ptr [edx + 4], eax ; mov eax, edx ; ret ; 
0x8734a | mov eax, dword ptr [ecx + 7] ; mov dword ptr [edx + 7], eax ; mov eax, edx ; ret ; 
0x8734c | pop es ; mov dword ptr [edx + 7], eax ; mov eax, edx ; ret ; 
0x87369 | add al, 0x8b ; inc ecx ; or byte ptr [ecx - 0x2f76f7be], cl ; ret ; 
0x873b0 | inc edx ; push es ; mov eax, edx ; ret ; 
0x873cc | pop es ; movlpd qword ptr [edx + 7], xmm0 ; mov eax, edx ; ret ; 
0x878f9 | test dword ptr [edx + 0x5f000009], esp ; pop esi ; pop ebx ; ret ; 
0x878fa | mov byte ptr [0x5f000009], al ; pop esi ; pop ebx ; ret ; 
0x8797e | test dword ptr [0x5f000009], ebx ; pop esi ; pop ebx ; ret ; 
0x8797f | sbb eax, 0x5f000009 ; pop esi ; pop ebx ; ret ; 
0x879e0 | mov esp, 0x5f000008 ; pop esi ; pop ebx ; ret ; 
0x87a02 | test dword ptr [ecx + 0x5f000008], ebx ; pop esi ; pop ebx ; ret ; 
0x87a27 | test dword ptr [eax + ecx], esi ; add byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x87a66 | or byte ptr ss:[eax], al ; add byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x87ae9 | test dword ptr [edx + 0x5f000007], esi ; pop esi ; pop ebx ; ret ; 
0x87b57 | test dword ptr [edi + eax], eax ; add byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x87be9 | test dword ptr [edx + 0x5f000006], esi ; pop esi ; pop ebx ; ret ; 
0x87c19 | test dword ptr [edx + 0x5f000006], eax ; pop esi ; pop ebx ; ret ; 
0x87c1a | add byte ptr [esi], 0 ; add byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x87cb1 | test edx, ebp ; add eax, 0x5e5f0000 ; pop ebx ; ret ; 
0x87ce0 | mov esp, 0x5f000005 ; pop esi ; pop ebx ; ret ; 
0x87d69 | test dword ptr [edx], esi ; add eax, 0x5e5f0000 ; pop ebx ; ret ; 
0x87d99 | test dword ptr [edx], eax ; add eax, 0x5e5f0000 ; pop ebx ; ret ; 
0x87dca | rol byte ptr [eax + eax], cl ; add byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x87dcb | add al, 0 ; add byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x87ddf | add byte ptr [edx + 0x5f178816], cl ; pop esi ; pop ebx ; ret ; 
0x87e0a | push edi ; add bl, byte ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x87e48 | push edi ; add ebx, dword ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x87fdf | dec edi ; adc byte ptr [eax + 0x5e5f1457], cl ; pop ebx ; ret ; 
0x880a3 | push edi ; adc byte ptr [ecx + 0x5e5f174f], cl ; pop ebx ; ret ; 
0x880c3 | push edi ; adc byte ptr [ecx + 0x5e5f184f], cl ; pop ebx ; ret ; 
0x886e8 | mov dword ptr [edx + 4], eax ; lea eax, [edx + 7] ; pop edi ; ret ; 
0x88939 | add al, 0x8d ; inc edx ; pop es ; ret ; 
0x8894a | mov al, byte ptr [ecx + 8] ; mov byte ptr [edx + 8], al ; lea eax, [edx + 8] ; ret ; 
0x8898a | mov eax, dword ptr [ecx + 7] ; mov dword ptr [edx + 7], eax ; lea eax, [edx + 0xa] ; ret ; 
0x8898c | pop es ; mov dword ptr [edx + 7], eax ; lea eax, [edx + 0xa] ; ret ; 
0x889ec | push es ; movlpd qword ptr [edx + 6], xmm0 ; lea eax, [edx + 0xd] ; ret ; 
0x889f0 | inc edx ; push es ; lea eax, [edx + 0xd] ; ret ; 
0x88a10 | inc edx ; pop es ; lea eax, [edx + 0xe] ; ret ; 
0x88fe6 | test dword ptr [ebp + 0x5f000009], esi ; pop esi ; pop ebx ; ret ; 
0x89004 | test dword ptr [edi + 0x5f000009], edx ; pop esi ; pop ebx ; ret ; 
0x890fc | test dword ptr [edi + 0x5f000008], ebx ; pop esi ; pop ebx ; ret ; 
0x891a6 | test byte ptr [edi], 0 ; add byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x891f8 | test dword ptr [ebx + 0x5f000007], esp ; pop esi ; pop ebx ; ret ; 
0x891f9 | mov dword ptr [0x5f000007], eax ; pop esi ; pop ebx ; ret ; 
0x892ec | test dword ptr [edi + 0x5f000006], ebp ; pop esi ; pop ebx ; ret ; 
0x8931f | test dword ptr [esi + eax], edi ; add byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x893b2 | test ecx, ebp ; add eax, 0x5e5f0000 ; pop ebx ; ret ; 
0x893dc | test dword ptr [edi + 0x5f000005], edi ; pop esi ; pop ebx ; ret ; 
0x893dd | mov edi, 0x5f000005 ; pop esi ; pop ebx ; ret ; 
0x8940c | test dword ptr [edi + 0x5f000005], ecx ; pop esi ; pop ebx ; ret ; 
0x8943d | pop edi ; add eax, 0x5e5f0000 ; pop ebx ; ret ; 
0x8946c | test dword ptr [edi], ebp ; add eax, 0x5e5f0000 ; pop ebx ; ret ; 
0x8946d | das ; add eax, 0x5e5f0000 ; pop ebx ; ret ; 
0x89485 | inc edi ; add dword ptr [edi + 0x5e], ebx ; pop ebx ; ret ; 
0x89497 | inc edi ; add bl, byte ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x894ad | inc edi ; add ebx, dword ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x89518 | push edi ; add ecx, dword ptr [ebp + 0x5e5f0747] ; pop ebx ; ret ; 
0x89539 | inc edi ; or byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x8954f | inc edi ; or dword ptr [edi + 0x5e], ebx ; pop ebx ; ret ; 
0x8956e | push edi ; or byte ptr [ebp + 0x5e5f0a47], cl ; pop ebx ; ret ; 
0x8958f | inc edi ; or ebx, dword ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x895ac | push edi ; or byte ptr [ebp + 0x5e5f0c47], cl ; pop ebx ; ret ; 
0x895b0 | or al, 0x5f ; pop esi ; pop ebx ; ret ; 
0x895d1 | add eax, 0x5f0d478d ; pop esi ; pop ebx ; ret ; 
0x89629 | inc edi ; adc byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x8963c | dec edi ; adc byte ptr [ebp + 0x5e5f1147], cl ; pop ebx ; ret ; 
0x89661 | inc edi ; adc bl, byte ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x8967f | inc edi ; adc ebx, dword ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x8969c | dec edi ; adc byte ptr [ebp + 0x5e5f1447], cl ; pop ebx ; ret ; 
0x89720 | push edi ; adc byte ptr [ebp + 0x5e5f1847], cl ; pop ebx ; ret ; 
0x89723 | inc edi ; sbb byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x89749 | inc edi ; sbb dword ptr [edi + 0x5e], ebx ; pop ebx ; ret ; 
0x8976b | inc edi ; sbb bl, byte ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x89799 | inc edi ; sbb ebx, dword ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x897b6 | dec edi ; sbb byte ptr [ebp + 0x5e5f1c47], cl ; pop ebx ; ret ; 
0x897ba | sbb al, 0x5f ; pop esi ; pop ebx ; ret ; 
0x897d1 | or eax, 0x5f1d478d ; pop esi ; pop ebx ; ret ; 
0x89833 | inc edi ; and byte ptr [edi + 0x5e], bl ; pop ebx ; ret ; 
0x8b3e2 | add dword ptr [edx - 0x76fd77ff], ecx ; clc ; pop edi ; ret ; 
0x8bac5 | or byte ptr [eax + 0x448b0270], cl ; and al, 8 ; pop esi ; ret ; 
0x8bb16 | or byte ptr [ecx + 0x448b0350], cl ; and al, 8 ; pop esi ; ret ; 
0x8bb7a | add byte ptr [ecx + 0x448b0750], cl ; and al, 8 ; pop esi ; ret ; 
0x8bb9a | add byte ptr [ecx + 0x448b0850], cl ; and al, 8 ; pop esi ; ret ; 
0x8bc27 | add byte ptr [eax + 0x448b1070], cl ; and al, 8 ; pop esi ; ret ; 
0x8bc6a | add byte ptr [ecx + 0x448b0f48], cl ; and al, 8 ; pop esi ; ret ; 
0x8bc8a | add byte ptr [ecx + 0x448b1048], cl ; and al, 8 ; pop esi ; ret ; 
0x8bcad | adc byte ptr [eax + 0x448b1470], cl ; and al, 8 ; pop esi ; ret ; 
0x8bd31 | adc byte ptr [eax + 0x448b1870], cl ; and al, 8 ; pop esi ; ret ; 
0x8bd74 | adc byte ptr [ecx + 0x448b1748], cl ; and al, 8 ; pop esi ; ret ; 
0x8bd94 | adc byte ptr [ecx + 0x448b1848], cl ; and al, 8 ; pop esi ; ret ; 
0x8be1b | add byte ptr es:[eax], al ; add byte ptr [eax], al ; pop esi ; ret ; 
0x8be1c | add byte ptr [eax], al ; add byte ptr [eax], al ; pop esi ; ret ; 
0x8e2bb | add cl, byte ptr [eax - 0x776fdbe] ; pop ebx ; pop edi ; ret ; 
0x8e2d2 | add al, 0x8b ; add dword ptr [ecx + 0x5bf88902], ecx ; pop edi ; ret ; 
0x8e329 | add ecx, dword ptr [ecx - 0x776fcbe] ; pop ebx ; pop edi ; ret ; 
0x8e35d | or byte ptr [eax - 0x776f7be], cl ; pop ebx ; pop edi ; ret ; 
0x8e3bd | or byte ptr [ecx - 0x776f7be], cl ; pop ebx ; pop edi ; ret ; 
0x8e5f3 | add cl, byte ptr [eax - 0x776f786] ; pop ebx ; pop edi ; ret ; 
0x8e650 | or byte ptr [eax - 0x776ef86], cl ; pop ebx ; pop edi ; ret ; 
0x8ef2a | add al, 0x89 ; or byte ptr [ebx + 0x5b0c2444], cl ; pop esi ; ret ; 
0x8f034 | add eax, 0xc24448b ; pop ebx ; pop esi ; ret ; 
0x8f274 | or eax, 0xc24448b ; pop ebx ; pop esi ; ret ; 
0x8f3bc | lea esi, [esi] ; pop ebx ; pop esi ; ret ; 
0x8f514 | sub edi, 0x10 ; add eax, edi ; pop edi ; ret ; 
0x8f516 | adc byte ptr [ecx], al ; clc ; pop edi ; ret ; 
0x8f51c | lea esi, [esi] ; xor eax, eax ; pop edi ; ret ; 
0x8f5a2 | add dword ptr [eax], eax ; add byte ptr [edi], cl ; mov ebp, 0x5ff801c0 ; ret ; 
0x8f624 | add byte ptr [eax], al ; add byte ptr [edi], cl ; mov ebp, 0x5ff801c0 ; ret ; 
0x8f6ba | pop esi ; sub eax, 0x10 ; pop edi ; ret ; 
0x8f6f5 | rol byte ptr [ecx], 0xf8 ; sub eax, 0x10 ; pop edi ; ret ; 
0x8f6f6 | add eax, edi ; sub eax, 0x10 ; pop edi ; ret ; 
0x8f6f7 | clc ; sub eax, 0x10 ; pop edi ; ret ; 
0x8f70f | add byte ptr [ebx + 0x5e], bl ; pop edi ; xor eax, eax ; ret ; 
0x8f711 | pop esi ; pop edi ; xor eax, eax ; ret ; 
0x8f91a | dec edi ; xor byte ptr [esi + 0xf], ah ; xlatb ; ret ; 
0x8f92c | bsf eax, eax ; lea eax, [edi + eax + 0x30] ; pop edi ; ret ; 
0x8f9d5 | pop edx ; xor eax, eax ; pop edi ; ret ; 
0x8f9e4 | inc esp ; cmp al, dh ; pop edi ; ret ; 
0x8f9f0 | bsf eax, eax ; add eax, edi ; pop edi ; ret ; 
0x8fa14 | inc esp ; cmp byte ptr [eax], ah ; pop edi ; ret ; 
0x8fa26 | cmp dword ptr [ecx], eax ; clc ; pop edi ; ret ; 
0x8fa59 | push es ; lea eax, [edi + eax + 0x30] ; pop edi ; ret ; 
0x8fa5d | xor byte ptr [edi - 0x3d], bl ; xor eax, eax ; pop edi ; ret ; 
0x8fbd8 | add byte ptr [eax], al ; add byte ptr [esi + 0xf], ah ; xlatb ; ret ; 
0x8fc00 | pmovmskb eax, xmm1 ; bsr eax, eax ; add eax, ecx ; ret ; 
0x8fc01 | pmovmskb eax, mm1 ; bsr eax, eax ; add eax, ecx ; ret ; 
0x8fc9f | nop ; bsr eax, eax ; add eax, ecx ; ret ; 
0x8fcae | add byte ptr [eax], al ; bsr eax, eax ; lea eax, [eax + ecx + 0x10] ; ret ; 
0x8fd1d | xor bl, al ; nop ; xor eax, eax ; ret ; 
0x8fec5 | add eax, 3 ; pop esi ; pop edi ; ret ; 
0x8fecc | add eax, 2 ; pop esi ; pop edi ; ret ; 
0x8fed3 | add eax, 1 ; pop esi ; pop edi ; ret ; 
0x8ff5a | bsf eax, eax ; add eax, edx ; add eax, ecx ; ret ; 
0x90099 | dec edx ; xor byte ptr [esi + 0xf], ah ; xlatb ; ret ; 
0x900be | add byte ptr [eax], al ; bsf eax, eax ; add eax, edx ; ret ; 
0x90540 | cli ; add dword ptr [edi], ecx ; xchg eax, esp ; ret ; 
0x90590 | add byte ptr [ebp + 0x5e5b0143], cl ; pop edi ; pop ebp ; ret ; 
0x90cae | rcr byte ptr [ebx - 9], 0xd8 ; pop esi ; pop edi ; ret ; 
0x90d7f | add dword ptr [ecx + 0x5bec7532], ecx ; pop esi ; pop edi ; ret ; 
0x90dfd | add al, 0x74 ; push es ; lea eax, [edx - 0x6f950] ; ret ; 
0x9107d | cmove eax, esi ; pop ebx ; pop esi ; ret ; 
0x91090 | lea eax, [edx + 4] ; pop ebx ; pop esi ; ret ; 
0x91091 | inc edx ; add al, 0x5b ; pop esi ; ret ; 
0x910a0 | lea eax, [edx + 8] ; pop ebx ; pop esi ; ret ; 
0x910b0 | lea eax, [edx + 0xc] ; pop ebx ; pop esi ; ret ; 
0x910b1 | inc edx ; or al, 0x5b ; pop esi ; ret ; 
0x9119a | mov dword ptr [edx + 8], ecx ; pop ebx ; pop esi ; ret ; 
0x91485 | or al, byte ptr [ebx + 0x5e5b5cc4] ; pop edi ; pop ebp ; ret ; 
0x91553 | and byte ptr [ebx + 0x5e5b5cc4], al ; pop edi ; pop ebp ; ret ; 
0x91a0b | and edx, edx ; add byte ptr [eax], al ; add esp, 0x2c ; ret ; 
0x92395 | add byte ptr [eax], al ; add al, ch ; mov eax, 0x810008d7 ; ret ; 
0x92495 | add byte ptr [eax], al ; add al, ch ; mov eax, 0x810008d6 ; ret ; 
0x92695 | add byte ptr [eax], al ; add al, ch ; mov eax, 0x810008d4 ; ret ; 
0x969fe | mov esi, 0x83ffffda ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0x9b459 | fisttp word ptr [ebx - 0x7ae7dba4] ; fisttp dword ptr [edi] ; xchg eax, ebp ; ret ; 
0x9c3c6 | mov dh, 1 ; add byte ptr [eax], al ; add esp, 0x1c ; ret ; 
0x9c56b | inc dword ptr [ebx + 0x5e5b14c4] ; pop edi ; pop ebp ; ret ; 
0x9e778 | cmp eax, 0x26b48d ; add byte ptr [eax], al ; add byte ptr [ecx], bh ; ret ; 
0xa031a | sub byte ptr [ebp + 0x63], dh ; pop edi ; pop esi ; ret ; 
0xa0327 | pop eax ; pop edi ; pop esi ; ret ; 
0xa0340 | xor byte ptr [ebp + 0x3d], dh ; pop edi ; pop esi ; ret ; 
0xa036a | cmp byte ptr [ebp + 0x13], dh ; pop edi ; pop esi ; ret ; 
0xa0387 | neg eax ; pop edi ; pop esi ; ret ; 
0xa038c | lea esi, [esi] ; pop edi ; pop esi ; ret ; 
0xa038e | add byte ptr es:[edi + 0x5e], bl ; ret ; 
0xa03b2 | add byte ptr [eax], al ; add byte ptr [edi + 2], bh ; neg eax ; ret ; 
0xa0407 | inc esp ; add bh, bh ; pop ebx ; ret ; 
0xa057c | add byte ptr [eax], al ; add byte ptr [eax], al ; add eax, 3 ; ret ; 
0xa05cc | add byte ptr [eax], al ; add byte ptr [eax], al ; mov eax, 4 ; ret ; 
0xa05dc | add byte ptr [eax], al ; add byte ptr [eax], al ; mov eax, 5 ; ret ; 
0xa05ec | add byte ptr [eax], al ; add byte ptr [eax], al ; mov eax, 6 ; ret ; 
0xa05fc | add byte ptr [eax], al ; add byte ptr [eax], al ; mov eax, 7 ; ret ; 
0xa0654 | or al, 0x8d ; inc edx ; add eax, dword ptr [ebp + 0x5bd475db] ; ret ; 
0xa0664 | lea esi, [esi] ; mov eax, edx ; pop ebx ; ret ; 
0xa0c40 | add esp, 0x18 ; mov eax, 0xffffffff ; pop ebx ; ret ; 
0xa0c41 | les ebx, ptr [eax] ; mov eax, 0xffffffff ; pop ebx ; ret ; 
0xa0ca5 | inc esp ; and al, 8 ; fsubp st(1) ; ret ; 
0xa0e66 | rol ecx, cl ; sti ; add ebp, dword ptr [ecx] ; ret ; 
0xa1828 | clc ; cmp ecx, dword ptr [edi] ; inc edi ; ret ; 
0xa1835 | imul edx, edx, 0x3c ; pop ebx ; add eax, edx ; ret ; 
0xa20b1 | sbb al, byte ptr [ecx] ; ror byte ptr [edi], 1 ; scasd eax, dword ptr es:[edi] ; ret ; 
0xa21f6 | add esp, 4 ; pop ebx ; pop edi ; ret ; 
0xa2578 | sub byte ptr [ecx + 0x5e5b2446], cl ; pop edi ; pop ebp ; ret ; 
0xa3b7f | lodsd eax, dword ptr [esi] ; dec ebx ; idiv edi ; ret ; 
0xa3bdb | push ecx ; dec ebx ; idiv edi ; ret ; 
0xa3c24 | rol byte ptr [0x16e], 1 ; pop ebx ; pop esi ; ret ; 
0xa3c25 | add eax, 0x16e ; pop ebx ; pop esi ; ret ; 
0xa3c26 | outsb dx, byte ptr [esi] ; add dword ptr [eax], eax ; add byte ptr [ebx + 0x5e], bl ; ret ; 
0xa4416 | or dword ptr [ebx - 0xf76fb3c], eax ; pop ebx ; pop esi ; ret ; 
0xa4429 | add al, byte ptr [ebx - 0xf76fb3c] ; pop ebx ; pop esi ; ret ; 
0xa4470 | add byte ptr [eax], al ; add esp, 0x10 ; pop ebx ; ret ; 
0xa4560 | sbb byte ptr [ebx + 0x5e5b08c4], al ; pop edi ; pop ebp ; ret ; 
0xa70df | pop ds ; add byte ptr [eax], al ; add esp, 0x2c ; ret ; 
0xa711f | inc ecx ; add byte ptr [eax], al ; add esp, 0x2c ; ret ; 
0xa7d20 | adc al, 0xc1 ; sti ; add eax, 0x291ff8c1 ; ret ; 
0xa82de | inc edi ; or al, byte ptr [eax] ; add dh, dh ; ret ; 
0xa9524 | adc byte ptr [ebp - 0x74d78b40], al ; inc ebp ; test byte ptr [ecx], bh ; ret ; 
0xaa501 | dec dword ptr [ecx - 0xa77b] ; dec dword ptr [edi] ; xchg eax, esp ; ret ; 
0xaaefa | dec eax ; add dword ptr [edi], ecx ; xchg eax, esp ; ret ; 
0xab2f4 | or byte ptr [edi], cl ; mov dh, 0xc2 ; pop ebx ; ret ; 
0xabe12 | sar byte ptr [eax + 0x7b], 0x83 ; in al, dx ; add al, 0x89 ; ret ; 
0xac49a | push dword ptr [edi + 3] ; pop ebx ; pop esi ; ret ; 
0xac641 | inc esp ; and al, 4 ; mov eax, dword ptr [eax] ; ret ; 
0xafff8 | dec dword ptr [edi] ; xor dword ptr [ecx], 0xffffff87 ; idiv bh ; ret ; 
0xb0047 | mov dword ptr [ebx + 0xc], eax ; mov eax, 0xfffffff2 ; pop ebx ; ret ; 
0xb0128 | dec dword ptr [edi] ; add dword ptr [ecx], -0x7a ; idiv bh ; ret ; 
0xb030d | add eax, ebp ; pop edi ; pop ebp ; ret ; 
0xb034a | dec dword ptr [edi] ; sbb edi, -0x7d ; idiv bh ; ret ; 
0xb07fe | dec dword ptr [edi] ; sub dword ptr [ebx], 0x7f ; idiv bh ; ret ; 
0xb14f8 | dec dword ptr [edi] ; xor dword ptr [ecx], 0x72 ; idiv bh ; ret ; 
0xb1510 | dec dword ptr [edi] ; sbb dword ptr [ecx], 0x72 ; idiv bh ; ret ; 
0xb153e | dec dword ptr [edi] ; sub ebx, 0x71 ; idiv bh ; ret ; 
