0xbab23 | adc al, 0x30 ; in eax, dx ; mov byte ptr [rdi + 0x15], ch ; ret ; 
0xa8587 | add byte ptr [rcx - 0x776b7f1], cl ; ret ; 
0x12f7d7 | add byte ptr [rcx - 0x876b], cl ; dec dword ptr [rax - 0x7d] ; ret ; 
0x4f171 | add byte ptr [rcx], 0 ; add byte ptr [rbx + 0x5d], bl ; pop r12 ; ret ; 
0x30889 | add byte ptr [rcx], al ; add byte ptr [rax], al ; and eax, esi ; ret ; 
0x115ec0 | add byte ptr [rcx], al ; add byte ptr [rax], al ; mov word ptr [rdi + 0x16], ax ; ret ; 
0x15df2f | add byte ptr [rcx], al ; push rdi ; sub byte ptr [rax + 1], bh ; ret ; 
0xf6152 | add byte ptr [rcx], dh ; ror byte ptr [rax - 0x7d], 0xc4 ; sbb byte ptr [rbx + 0x5d], bl ; ret ; 
0x3e4a0 | add byte ptr [rdi], bh ; movd xmm0, eax ; mov dword ptr [rdi], edx ; ret ; 
0xe98f7 | add byte ptr [rdi], cl ; mov dh, 0x43 ; add ecx, dword ptr [rax - 0x7d] ; ret ; 
0xd9fef | add byte ptr [rdi], cl ; mov dh, 0x4b ; add dword ptr [rax - 0x7d], ecx ; ret ; 
0xbba8f | add byte ptr [rdi], cl ; mov dh, 0xc1 ; pop rbx ; ret ; 
0xac0ff | add byte ptr [rdi], cl ; mov ebp, 0x448d48c0 ; cmp byte ptr [rax], ah ; ret ; 
0xac10f | add byte ptr [rdi], cl ; mov ebp, 0x448d48c0 ; cmp byte ptr [rax], dh ; ret ; 
0x5b93e | add byte ptr [rdi], cl ; test dword ptr [rbx], esp ; adc eax, 0x83490000 ; ret ; 
0xefea1 | add byte ptr [rdi], cl ; xchg eax, ebp ; rol byte ptr [rcx], 0xc0 ; ret ; 
0xa0b73 | add byte ptr [rdx + rcx + 0x5b], dh ; pop rbp ; pop r12 ; ret ; 
0xef7f2 | add byte ptr [rsi + 0xf], ah ; outsd dx, dword ptr [rsi] ; enter 0xf66, -0x2c ; ret ; 
0x3e9fd | add byte ptr [rsi - 0x70], ah ; movmskps eax, xmm0 ; and eax, 8 ; ret ; 
0xfa1b3 | add byte ptr [rsi], al ; add byte ptr [rax], al ; add cl, ch ; ret ; 
0x116095 | add byte ptr [rsi], dl ; add byte ptr [rax], al ; add byte ptr [rax - 0x39], cl ; ret ; 
0x1180f7 | add byte ptr ds:[rax - 0x73], cl ; push rsi ; add dword ptr [rbp - 0x2f], esi ; ret ; 
0xefea0 | add byte ptr gs:[rdi], cl ; xchg eax, ebp ; rol byte ptr [rcx], 0xc0 ; ret ; 
0x846aa | add ch, byte ptr [rcx] ; rol bl, 1 ; mov eax, 0xffffffff ; ret ; 
0x3f856 | add cl, 0xe9 ; add esi, ebx ; stosq qword ptr [rdi], rax ; ret ; 
0x4fb69 | add dh, al ; add al, 0x10 ; add bl, dh ; ret ; 
0xedb97 | add dh, al ; or byte ptr [r10], r8b ; xor eax, eax ; ret ; 
0xba92b | add dh, byte ptr [rax] ; in eax, dx ; mov byte ptr [rdi + 3], ch ; ret ; 
0xf356d | add dword ptr [r8], r8d ; add byte ptr [rax - 0x77], cl ; fmul dword ptr [rax - 0x7d] ; ret ; 
0x12ecc7 | add dword ptr [rax], eax ; add byte ptr [rax - 0x75], cl ; add cl, byte ptr [rax - 0x7d] ; ret ; 
0xf356e | add dword ptr [rax], eax ; add byte ptr [rax - 0x77], cl ; fmul dword ptr [rax - 0x7d] ; ret ; 
0x3fb22 | add dword ptr [rax], eax ; add byte ptr [rax], al ; cmove eax, edx ; ret ; 
0x54a56 | add dword ptr [rax], eax ; add byte ptr [rax], al ; mov qword ptr [rdi], rsi ; ret ; 
0x14dbfa | add dword ptr [rax], eax ; add byte ptr [rax], al ; mov qword ptr [rsi + 0x10], rax ; ret ; 
0x156835 | add dword ptr [rax], eax ; add byte ptr [rax], al ; movups xmmword ptr [rdi + 0x20], xmm0 ; ret ; 
0x1567fd | add dword ptr [rax], eax ; add byte ptr [rax], al ; movups xmmword ptr [rdi + 0x30], xmm0 ; ret ; 
0x130814 | add dword ptr [rax], eax ; add byte ptr [rax], al ; pop rbx ; ret ; 
0xa80a1 | add dword ptr [rax], eax ; mov rcx, r8 ; mov qword ptr [rdx], rcx ; ret ; 
0xa81e8 | add dword ptr [rax], eax ; pop rbx ; mov qword ptr [rdi], rdx ; ret ; 
0xa1304 | add dword ptr [rbp - 0xf], esi ; xor eax, eax ; pop rbx ; ret ; 
0xd07fb | add dword ptr [rcx], eax ; add byte ptr [rax], al ; lea rax, [rdi - 0x10] ; ret ; 
0x17edfe | add dword ptr [rdi], ecx ; test dword ptr [rbx + 3], ecx ; add byte ptr [rax], al ; ret ; 
0x1925cd | add dword ptr [rdx + 4], esi ; mov cl, byte ptr [rsi] ; mov byte ptr [rdi], cl ; ret ; 
0x11c5cc | add eax, 0x2d1def ; pop rbp ; pop r12 ; ret ; 
0x97061 | add eax, 0x35689e ; add byte ptr [rax], al ; add byte ptr [rax], al ; ret ; 
0x90d71 | add eax, 0x35cb8e ; add byte ptr [rax], al ; add byte ptr [rax], al ; ret ; 
0x8feed | add eax, 0x35d9b2 ; add byte ptr [rax], al ; add byte ptr [rax], al ; ret ; 
0x237e4 | add eax, dword ptr [rax] ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x123e46 | add eax, dword ptr [rax] ; add byte ptr [rax], al ; add rsp, 8 ; ret ; 
0x130e36 | add eax, dword ptr [rax] ; add byte ptr [rax], al ; cmovne eax, edx ; ret ; 
0x198eb0 | add eax, dword ptr [rax] ; add byte ptr [rcx], dh ; dec dword ptr [rax + 9] ; ret ; 
0x1176f7 | add eax, dword ptr [rax] ; mov rax, rbx ; pop rbx ; ret ; 
0xdca48 | add ebp, dword ptr [rbx] ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x15ab04 | add ebp, dword ptr [rcx] ; add byte ptr [rbx + rax*4 + 0x38], ah ; add al, 0x75 ; ret ; 
0x52c01 | add ebx, eax ; nop dword ptr [rax + rax] ; xor eax, eax ; ret ; 
0x15997e | add ecx, dword ptr [rax - 0x75] ; add eax, 0x291502 ; pop rbx ; ret ; 
0x1598be | add ecx, dword ptr [rax - 0x75] ; add eax, 0x29162a ; pop rbx ; ret ; 
0x1597fe | add ecx, dword ptr [rax - 0x75] ; add eax, 0x2917da ; pop rbx ; ret ; 
0x159746 | add ecx, dword ptr [rax - 0x75] ; add eax, 0x29183a ; pop rbx ; ret ; 
0xdc94a | add ecx, dword ptr [rcx] ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0xb7130 | add ecx, dword ptr [rdi] ; test dword ptr [rcx + 8], ebp ; add byte ptr [rax], al ; ret ; 
0xdce28 | add ecx, dword ptr [rdx] ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x539d2 | add edx, eax ; mov rax, rdx ; pop rbx ; ret ; 
0xba989 | add esi, dword ptr [rax] ; in eax, dx ; mov byte ptr [rdi + 7], ch ; ret ; 
0x446fc | add esi, dword ptr [rcx] ; ror byte ptr [rax - 0x7d], 0xc4 ; or byte ptr [rbx + 0x5d], bl ; ret ; 
0x141288 | add esi, eax ; add al, byte ptr [rax] ; pop rbx ; ret ; 
0x96522 | add esi, ebx ; stosq qword ptr [rdi], rax ; pop rbx ; ret ; 
0x3ea84 | add esp, 0x20 ; movdqa xmm0, xmm3 ; pop rbx ; ret ; 
0x42e7f | add esp, 0x80 ; xor eax, eax ; pop rbx ; ret ; 
0x2bf16 | add esp, 0xb8 ; pop rbx ; pop r12 ; ret ; 
0x22558 | add esp, 8 ; mov eax, edi ; neg eax ; ret ; 
0x121ac6 | add esp, 8 ; movzx eax, al ; neg eax ; ret ; 
0x17edfd | add qword ptr [rdi], rcx ; test dword ptr [rbx + 3], ecx ; add byte ptr [rax], al ; ret ; 
0x539d1 | add rdx, r8 ; mov rax, rdx ; pop rbx ; ret ; 
0x3ea83 | add rsp, 0x20 ; movdqa xmm0, xmm3 ; pop rbx ; ret ; 
0x22557 | add rsp, 8 ; mov eax, edi ; neg eax ; ret ; 
0x121ac5 | add rsp, 8 ; movzx eax, al ; neg eax ; ret ; 
0xb3c81 | and al, 0 ; add byte ptr [rax - 0x7b], cl ; ror byte ptr [rdi], 0x85 ; ret ; 
0x196a43 | and al, 0 ; add byte ptr [rax], al ; add byte ptr [rax + 9], cl ; ret ; 
0xa8553 | and al, 0x10 ; mov qword ptr [rdi], rax ; mov rax, rdi ; ret ; 
0x12e5e1 | and al, 0x18 ; add dword ptr [rdi], ecx ; xchg eax, ebp ; ret ; 
0xa8483 | and al, 0x18 ; add rax, rdi ; mov qword ptr [rdi], rdx ; ret ; 
0x62d7c | and al, 0x40 ; add byte ptr [rcx + 0xf], al ; xchg eax, esp ; ret ; 
0x3e9d6 | and al, 0x48 ; add esp, 0x20 ; pop rbx ; ret ; 
0x199abf | and al, 0x48 ; add esp, 0x30 ; pop rbx ; ret ; 
0xffb02 | and al, 0x5c ; add dword ptr [rax], eax ; add byte ptr [rcx], bh ; ret ; 
0xff957 | and al, 0x64 ; add dword ptr [rax], eax ; add byte ptr [rcx], bh ; ret ; 
0x2bc0d | and al, 0x88 ; add byte ptr [rax], al ; add byte ptr [rax - 0x77], cl ; ret ; 
0xc6771 | and al, 0x90 ; add byte ptr [rax], al ; add byte ptr [rax + 0x39], cl ; ret ; 
0xfd68a | and al, 0x90 ; add byte ptr [rax], al ; add byte ptr [rcx], al ; ret ; 
0x25a8e | and al, 0x98 ; add byte ptr [rax], al ; add byte ptr [rax + 0xf], cl ; ret ; 
0xc8811 | and al, 0xa0 ; add byte ptr [rax], al ; add byte ptr [rax + 0x63], cl ; ret ; 
0x15a098 | and al, 0xa0 ; add byte ptr [rax], al ; add byte ptr [rax - 0x7f], cl ; ret ; 
0x25f10 | and al, 0xa8 ; add byte ptr [rax], al ; add byte ptr [rax + 0xf], cl ; ret ; 
0xff938 | and al, 0xc0 ; add dword ptr [rax], eax ; add byte ptr [rcx], al ; ret ; 
0xec539 | and al, 0xd0 ; add byte ptr [rax], al ; add cl, ch ; ret ; 
0xa85d2 | and al, 0xe ; mov byte ptr [rdi + 6], al ; mov rax, rdi ; ret ; 
0x3dccc | and al, 0xe8 ; fstp xword ptr [rdi] ; fld xword ptr [rsp + 8] ; ret ; 
0xa85b1 | and al, 0xec ; mov word ptr [rdi + 4], ax ; mov rax, rdi ; ret ; 
0x3dc14 | and al, 0xf0 ; fstp xword ptr [rdi] ; fld xword ptr [rsp - 0x18] ; ret ; 
0xa8599 | and al, 0xf4 ; mov byte ptr [rdi + 4], al ; mov rax, rdi ; ret ; 
0xa857b | and al, 0xfa ; mov byte ptr [rdi + 2], al ; mov rax, rdi ; ret ; 
0x9d703 | and al, 8 ; add rsp, 0x10 ; pop rbx ; ret ; 
0x9f0d3 | and al, bh ; lcall [rbx + 0x31] ; rcr byte ptr [rbp + 0x41], 0x5c ; ret ; 
0x3de34 | and al, byte ptr [rax] ; add byte ptr [rax], al ; add rsp, 8 ; ret ; 
0xf342d | and al, byte ptr [rbx + 0xd7403f8] ; xor eax, eax ; pop rbx ; ret ; 
0xbaca6 | and byte ptr [r8], r14b ; in eax, dx ; mov byte ptr [rdi + 0x21], ch ; ret ; 
0xd2ec6 | and byte ptr [r9 + 0x5d], r8b ; pop r14 ; pop r15 ; ret ; 
0x7f1c7 | and byte ptr [rax - 0x77], cl ; fcomp dword ptr [rbx + 0x5d] ; pop r12 ; ret ; 
0xe6793 | and byte ptr [rax], al ; add byte ptr [rax], al ; cmovne rax, rdx ; ret ; 
0xbaca7 | and byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x21], ch ; ret ; 
0xd2ec7 | and byte ptr [rcx + 0x5d], al ; pop r14 ; pop r15 ; ret ; 
0x54be9 | and byte ptr [rcx - 0x2413dbbc], cl ; insb byte ptr [rdi], dx ; and al, 0xe8 ; ret ; 
0x10e7e0 | and byte ptr [rdi], cl ; adc dword ptr [rdi + 0x30], eax ; movups xmmword ptr [rdi + 0x40], xmm0 ; ret ; 
0xd7de7 | and byte ptr [rdx], al ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0xbbad8 | and ch, 0xf0 ; cmovne rax, rdx ; pop rbx ; ret ; 
0xbbb53 | and eax, 0x7ff80000 ; div ecx ; mov eax, eax ; ret ; 
0x130930 | and eax, 0xc ; pop rbp ; pop r12 ; ret ; 
0x134dbd | and eax, 0xffffff ; or eax, edi ; bswap eax ; ret ; 
0x3fdf8 | and eax, dword ptr [rax] ; mov qword ptr [rdi], rax ; xor eax, eax ; ret ; 
0x3fd2d | and edx, dword ptr [rax + rax*8] ; mov qword ptr [rdi + rax*8], rdx ; xor eax, eax ; ret ; 
0x3fdf7 | and rax, qword ptr [r8] ; mov qword ptr [rdi], rax ; xor eax, eax ; ret ; 
0x3e2a8 | andps xmm0, xmm3 ; andnps xmm3, xmm1 ; orps xmm0, xmm3 ; ret ; 
0xabcfa | bsf eax, eax ; add rax, rdi ; add rax, rcx ; ret ; 
0x9eec5 | bsf eax, edi ; cmove eax, edx ; add eax, 1 ; ret ; 
0x18aa70 | bsr eax, eax ; add eax, 0x60 ; add rax, rdi ; ret ; 
0x1568ad | bswap eax ; mov dword ptr [rdx], eax ; mov eax, 1 ; ret ; 
0x58599 | cmovb eax, edi ; pop rbp ; pop r12 ; ret ; 
0x58598 | cmovb rax, rdi ; pop rbp ; pop r12 ; ret ; 
0x43ce4 | cmove ebx, eax ; mov rax, rbx ; pop rbx ; ret ; 
0x43ce3 | cmove rbx, rax ; mov rax, rbx ; pop rbx ; ret ; 
0x301a0 | cmp al, 0xac ; cmp eax, dword ptr [rax] ; mov qword ptr [rax], rdx ; ret ; 
0x1921c3 | cmp al, 2 ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x3db96 | cmp bh, 0xff ; inc eax ; shr eax, 0x1f ; ret ; 
0x12be4a | cmp bh, al ; mov eax, edx ; cmove eax, ecx ; ret ; 
0x15974a | cmp bl, byte ptr [rax] ; sub dword ptr [rax], eax ; pop rbx ; ret ; 
0x1431f2 | cmp byte ptr [rbx + 0x5d], bl ; pop r12 ; pop r14 ; ret ; 
0x12be49 | cmp dil, al ; mov eax, edx ; cmove eax, ecx ; ret ; 
0x52819 | cmp dword ptr [rax], ecx ; xor eax, eax ; pop rbx ; ret ; 
0x52818 | cmp dword ptr [rax], r9d ; xor eax, eax ; pop rbx ; ret ; 
0x10ea13 | cmp eax, ebx ; seta al ; pop rbx ; ret ; 
0x195043 | cmp eax, ecx ; sbb eax, eax ; sbb eax, -1 ; ret ; 
0x18eb35 | cmp esi, dword ptr [rdx + 5] ; movzx ecx, byte ptr [rsi] ; mov byte ptr [rdi], cl ; ret ; 
0x10ea12 | cmp rax, rbx ; seta al ; pop rbx ; ret ; 
0x141285 | dec dword ptr [rax + 0x40c60158] ; add al, byte ptr [rax] ; pop rbx ; ret ; 
0x3f933 | dec dword ptr [rax - 0x2d] ; ror byte ptr [rax + 0x21], 7 ; xor eax, eax ; ret ; 
0x1069b7 | dec dword ptr [rax - 0x77] ; adc ecx, dword ptr [rdi] ; xchg eax, esp ; ret ; 
0x116579 | dec dword ptr [rax - 0x77] ; fcomp dword ptr [rbx + 0x5d] ; pop r12 ; ret ; 
0x12a924 | dec dword ptr [rcx - 0x75] ; push rdi ; sbb byte ptr [rax - 0x77], cl ; ret ; 
0x107f2b | dec dword ptr [rcx - 0x75] ; push rsi ; sub byte ptr [rax - 0x7d], cl ; ret ; 
0x113927 | div byte ptr [rcx] ; push qword ptr [rcx] ; shr al, 0xf ; ret ; 
0x617c6 | div eax ; add r9d, eax ; mov eax, r9d ; ret ; 
0xbbb3f | div ecx ; pop rbx ; mov eax, eax ; ret ; 
0x617c5 | div r8d ; add r9d, eax ; mov eax, r9d ; ret ; 
0x3e248 | enter -0x73f, 0x1f ; not eax ; and eax, edx ; ret ; 
0x10e937 | enter 0x415d, 0x5c ; pop r13 ; pop r14 ; ret ; 
0x1160b1 | fdiv dword ptr [rbp + 0x4b] ; add rsp, 0x70 ; pop rbx ; ret ; 
0x14f075 | fiadd dword ptr [rcx - 1] ; push rbp ; adc byte ptr [rcx], bh ; ret ; 
0x159802 | ficom dword ptr [rdi] ; sub dword ptr [rax], eax ; pop rbx ; ret ; 
0x116594 | fimul word ptr [rax - 0x77] ; fcomp dword ptr [rbx + 0x5d] ; pop r12 ; ret ; 
0x1989c2 | fisttp dword ptr [rax + 9] ; fadd dword ptr [rcx + 0xf] ; xchg eax, ebp ; ret ; 
0x12409e | fisttp dword ptr [rax - 0x77] ; sbb eax, 0x2c72ba ; pop rbx ; ret ; 
0x195f62 | fisttp dword ptr [rcx + 9] ; fiadd dword ptr [rcx + 0xf] ; xchg eax, ebp ; ret ; 
0x3ddc6 | fnstsw ax ; fstp st(0) ; and eax, 0x200 ; ret ; 
0xbd127 | idiv bh ; mov rax, rbx ; pop rbx ; ret ; 
0xbd126 | idiv dil ; mov rax, rbx ; pop rbx ; ret ; 
0x9de00 | in al, 0xfb ; xor al, 0 ; add rsp, 8 ; ret ; 
0xa85b2 | in al, dx ; mov word ptr [rdi + 4], ax ; mov rax, rdi ; ret ; 
0xa89f7 | in al, dx ; or al, ch ; add al, byte ptr [rsi + 0x3948fff7] ; ret ; 
0x30937 | in eax, 0xa5 ; cmp eax, dword ptr [rax] ; mov qword ptr fs:[rdx], rax ; ret ; 
0xbbad9 | in eax, 0xf0 ; cmovne rax, rdx ; pop rbx ; ret ; 
0x1915f7 | inc dword ptr [rax] ; add byte ptr [rax], al ; sub eax, ecx ; ret ; 
0x134dc0 | inc dword ptr [rax] ; or eax, edi ; bswap eax ; ret ; 
0x443f4 | inc dword ptr [rbx] ; add byte ptr [rax], al ; xor eax, ecx ; ret ; 
0x66554 | inc dword ptr [rcx] ; add byte ptr [rax], al ; add byte ptr [rax + 0x63], cl ; ret ; 
0x788e3 | inc dword ptr [rdx] ; add byte ptr [rax], al ; add cl, ch ; ret ; 
0x195049 | inc ebx ; nop dword ptr [rax + rax] ; xor eax, eax ; ret ; 
0x6c7c6 | inc esi ; add al, 2 ; add dword ptr [rcx - 0x7d], ecx ; ret ; 
0x3dd81 | insb byte ptr [rdi], dx ; and al, 8 ; fadd st(0) ; ret ; 
0xd5f2f | insd dword ptr [rdi], dx ; add dword ptr [rax], eax ; add bl, dh ; ret ; 
0x139890 | lcall [rbp + 0x41] ; pop rsp ; pop r13 ; ret ; 
0xdf182 | lea eax, [rax + rdx*8] ; add rsp, 0x10 ; pop rbx ; ret ; 
0x1401d0 | lea eax, [rdi + 9] ; and eax, 0xfffffff8 ; add eax, 0x10 ; ret ; 
0xbbaf3 | lea eax, [rdx + rdx] ; pop rbx ; and eax, 0x7ff80000 ; ret ; 
0x11c5cb | lea eax, [rip + 0x2d1def] ; pop rbp ; pop r12 ; ret ; 
0x5af21 | lea ebp, [rdx] ; add al, byte ptr [rax] ; add byte ptr [rax + 0x63], cl ; ret ; 
0x121ffa | lea ecx, [rdi + rdi] ; shr eax, cl ; and eax, 3 ; ret ; 
0x8fb11 | lea edx, [rax + 0x60] ; mov rax, qword ptr [rdi] ; mov qword ptr [rdx], rax ; ret ; 
0x827f0 | lea esi, [rcx + 4] ; mov qword ptr [rdx + 0x20], rsi ; mov dword ptr [rcx], eax ; ret ; 
0xdf181 | lea rax, [rax + rdx*8] ; add rsp, 0x10 ; pop rbx ; ret ; 
0x7ed40 | lodsb al, byte ptr [rsi] ; add byte ptr [rax], al ; add byte ptr [rax - 0x77], cl ; ret ; 
0x301a1 | lodsb al, byte ptr [rsi] ; cmp eax, dword ptr [rax] ; mov qword ptr [rax], rdx ; ret ; 
0x8740f | lodsd eax, dword ptr [rsi] ; add byte ptr [rax], al ; add byte ptr [rax - 0x77], cl ; ret ; 
0x152f77 | mov ah, 0 ; add byte ptr [rax], al ; mov eax, 1 ; ret ; 
0x9082b | mov ah, 0x35 ; add byte ptr [rcx + rax + 0x57], al ; sbb byte ptr [rax + 0x39], cl ; ret ; 
0x181320 | mov al, byte ptr [rcx] ; mov byte ptr [rdx], al ; lea rax, [rdx] ; ret ; 
0xa84e2 | mov bh, 0x54 ; and al, 0xc ; mov word ptr [rdi + 4], dx ; ret ; 
0xa8694 | mov bh, 0x54 ; and al, 0xec ; mov word ptr [rdi + 4], dx ; ret ; 
0x134dac | mov bh, 0xc6 ; or eax, edi ; bswap eax ; ret ; 
0x10eb11 | mov bh, 7 ; mov word ptr [rsi], ax ; xor eax, eax ; ret ; 
0x194f8e | mov bl, 0 ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x15e423 | mov bl, 0xff ; dec dword ptr [rax - 0x75] ; cmp byte ptr [rax - 0x77], cl ; ret ; 
0x141286 | mov byte ptr [rax + 1], bl ; mov byte ptr [rax + 2], 0 ; pop rbx ; ret ; 
0x11f68e | mov byte ptr [rax], 0 ; mov rax, rbx ; pop rbx ; ret ; 
0x1176f6 | mov byte ptr [rbx], 0 ; mov rax, rbx ; pop rbx ; ret ; 
0xa80a0 | mov byte ptr [rcx], 0 ; mov rcx, r8 ; mov qword ptr [rdx], rcx ; ret ; 
0xa81e7 | mov byte ptr [rcx], 0 ; pop rbx ; mov qword ptr [rdi], rdx ; ret ; 
0xbaa9b | mov byte ptr [rdi + 0x10], cl ; xor ch, ch ; mov byte ptr [rdi + 0x11], ch ; ret ; 
0xbab21 | mov byte ptr [rdi + 0x14], dl ; xor ch, ch ; mov byte ptr [rdi + 0x15], ch ; ret ; 
0xbaba3 | mov byte ptr [rdi + 0x18], cl ; xor ch, ch ; mov byte ptr [rdi + 0x19], ch ; ret ; 
0xbaca5 | mov byte ptr [rdi + 0x20], cl ; xor ch, ch ; mov byte ptr [rdi + 0x21], ch ; ret ; 
0xba929 | mov byte ptr [rdi + 2], dl ; xor ch, ch ; mov byte ptr [rdi + 3], ch ; ret ; 
0xb7ee2 | mov byte ptr [rdi + 4], dh ; mov dword ptr [rdi], ecx ; lea rax, [rdi + 4] ; ret ; 
0xba957 | mov byte ptr [rdi + 4], dl ; xor ch, ch ; mov byte ptr [rdi + 5], ch ; ret ; 
0xba9a9 | mov byte ptr [rdi + 8], dl ; xor ch, ch ; mov byte ptr [rdi + 9], ch ; ret ; 
0xba902 | mov byte ptr [rdi], dl ; xor ch, ch ; mov byte ptr [rdi + 1], ch ; ret ; 
0x95449 | mov byte ptr [rsi + rbx], cl ; mov rax, rsi ; pop rbx ; ret ; 
0x190f16 | mov ch, 6 ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x9bf4d | mov cl, 0 ; add byte ptr [rax], al ; add rsp, 0x18 ; ret ; 
0x165da0 | mov cl, 0xe9 ; add esi, ebx ; movsq qword ptr [rdi], qword ptr [rsi] ; ret ; 
0x67b22 | mov cs, ecx ; add byte ptr [rax], al ; add byte ptr [rax + 0x63], cl ; ret ; 
0xf2c80 | mov cs, word ptr [rbx] ; add al, byte ptr [rax] ; add byte ptr [rax + 0x63], cl ; ret ; 
0xa8503 | mov dh, 0x54 ; and al, 0x16 ; mov byte ptr [rdi + 6], dl ; ret ; 
0xa86b5 | mov dh, 0x54 ; and al, 0xe ; mov byte ptr [rdi + 6], dl ; ret ; 
0x134d9e | mov dh, 0xc6 ; or eax, edi ; bswap eax ; ret ; 
0xac341 | mov dh, 7 ; movzx edx, byte ptr [rsi] ; sub eax, edx ; ret ; 
0xd5223 | mov dh, byte ptr [rcx] ; add bl, ch ; adc byte ptr [rax - 0x7d], cl ; ret ; 
0xb7593 | mov dl, byte ptr [rsi + 2] ; mov word ptr [rdi], cx ; mov byte ptr [rdi + 2], dl ; ret ; 
0xb75b2 | mov dl, byte ptr [rsi + 4] ; mov dword ptr [rdi], ecx ; mov byte ptr [rdi + 4], dl ; ret ; 
0xb75f3 | mov dl, byte ptr [rsi + 8] ; mov qword ptr [rdi], rcx ; mov byte ptr [rdi + 8], dl ; ret ; 
0xb8cd0 | mov dl, byte ptr [rsi] ; mov byte ptr [rdi], dl ; lea rax, [rdi + 1] ; ret ; 
0x14112f | mov dword ptr [r8], ecx ; mov qword ptr [r9], rax ; mov eax, edx ; ret ; 
0x141190 | mov dword ptr [r8], r10d ; mov qword ptr [r9], rax ; mov eax, edx ; ret ; 
0x141130 | mov dword ptr [rax], ecx ; mov qword ptr [r9], rax ; mov eax, edx ; ret ; 
0x141191 | mov dword ptr [rax], edx ; mov qword ptr [r9], rax ; mov eax, edx ; ret ; 
0x8a877 | mov dword ptr [rbx + 0x10], eax ; mov rax, rbx ; pop rbx ; ret ; 
0x129efa | mov dword ptr [rbx + 0x10], esi ; add rsp, 0x10 ; pop rbx ; ret ; 
0x129f3a | mov dword ptr [rbx + 0x18], esi ; add rsp, 0x10 ; pop rbx ; ret ; 
0x3ebed | mov dword ptr [rbx + 0x40], esi ; xor eax, eax ; pop rbx ; ret ; 
0x833e4 | mov dword ptr [rbx + 0x74], eax ; add rsp, 0x20 ; pop rbx ; ret ; 
0x129eba | mov dword ptr [rbx + 8], esi ; add rsp, 0x10 ; pop rbx ; ret ; 
0x8e2cc | mov dword ptr [rbx], eax ; add rsp, 0x20 ; pop rbx ; ret ; 
0x843ab | mov dword ptr [rbx], ecx ; xor eax, eax ; pop rbx ; ret ; 
0x52817 | mov dword ptr [rcx + rdi + 8], eax ; xor eax, eax ; pop rbx ; ret ; 
0xefaa8 | mov dword ptr [rcx], eax ; add rsp, 0x20 ; pop rbx ; ret ; 
0x8733a | mov dword ptr [rcx], eax ; xor eax, eax ; pop rbx ; ret ; 
0xbaabd | mov dword ptr [rdi + 0x10], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x12], ch ; ret ; 
0xbaafb | mov dword ptr [rdi + 0x10], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x14], ch ; ret ; 
0xbab7d | mov dword ptr [rdi + 0x10], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x18], ch ; ret ; 
0xbabe3 | mov dword ptr [rdi + 0x17], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x1b], ch ; ret ; 
0xbabc5 | mov dword ptr [rdi + 0x18], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x1a], ch ; ret ; 
0xbac03 | mov dword ptr [rdi + 0x18], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x1c], ch ; ret ; 
0xbd162 | mov dword ptr [rdi + 0xc], eax ; mov rax, rbx ; pop rbx ; ret ; 
0xbab3d | mov dword ptr [rdi + 0xe], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x16], ch ; ret ; 
0xbaadb | mov dword ptr [rdi + 0xf], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x13], ch ; ret ; 
0xbab5d | mov dword ptr [rdi + 0xf], ecx ; xor ch, ch ; mov byte ptr [rdi + 0x17], ch ; ret ; 
0xba987 | mov dword ptr [rdi + 3], edx ; xor ch, ch ; mov byte ptr [rdi + 7], ch ; ret ; 
0x4487d | mov dword ptr [rdi + 4], eax ; xor eax, eax ; mov word ptr [rdi + 2], dx ; ret ; 
0xba969 | mov dword ptr [rdi + 4], edx ; xor ch, ch ; mov byte ptr [rdi + 6], ch ; ret ; 
0xbaa2b | mov dword ptr [rdi + 5], edx ; xor ch, ch ; mov byte ptr [rdi + 0xd], ch ; ret ; 
0xbaa4b | mov dword ptr [rdi + 6], edx ; xor ch, ch ; mov byte ptr [rdi + 0xe], ch ; ret ; 
0xba9e9 | mov dword ptr [rdi + 7], edx ; xor ch, ch ; mov byte ptr [rdi + 0xb], ch ; ret ; 
